Food,Category,Grams,Calories,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,satfat_per_100g,category_encoded
Corned beef hash Dried,"Meat, Poultry",56,115.0,205.36,33.93,7.14,0.0,0.0,7.14,10
Pot-pie,"Meat, Poultry",227,480.0,211.45,7.93,12.33,14.1,0.0,11.01,10
Corned beef hash Stew,"Meat, Poultry",235,185.0,78.72,6.38,4.26,6.38,0.0,3.83,10
chicken,"Meat, Poultry",85,185.0,217.65,27.06,10.59,0.0,0.0,8.24,10
"Fried, breast or leg and thigh chicken","Meat, Poultry",85,245.0,288.24,29.41,17.65,0.0,0.0,12.94,10
Roasted chicken,"Meat, Poultry",100,290.0,290.0,25.0,20.0,0.0,0.0,16.0,10
"Chicken livers, fried","Meat, Poultry",100,140.0,140.0,22.0,14.0,2.3,0.0,12.0,10
"Duck, domestic","Meat, Poultry",100,370.0,370.0,16.0,28.0,0.0,0.0,0.0,10
"Lamb, chop, broiled","Meat, Poultry",115,480.0,417.39,20.87,30.43,0.0,0.0,28.7,10
Leg roasted,"Meat, Poultry",86,314.0,365.12,23.26,16.28,0.0,0.0,16.28,10
"Shoulder, braised","Meat, Poultry",85,285.0,335.29,21.18,27.06,0.0,0.0,24.71,10
"Pork, chop, 1 thick","Meat, Poultry",100,260.0,260.0,16.0,21.0,0.0,0.0,18.0,10
Ham pan-broiled,"Meat, Poultry",85,290.0,341.18,18.82,25.88,0.0,0.0,22.35,10
"Ham, as ","Meat, Poultry",57,170.0,298.25,22.81,22.81,0.0,0.0,19.3,10
"Ham, canned, spiced","Meat, Poultry",57,165.0,289.47,14.04,24.56,1.75,0.0,21.05,10
Pork roast,"Meat, Poultry",85,310.0,364.71,24.71,28.24,0.0,0.0,24.71,10
Pork sausage,"Meat, Poultry",100,475.0,475.0,18.0,44.0,0.0,0.0,40.0,10
Turkey,"Meat, Poultry",100,265.0,265.0,27.0,15.0,0.0,0.0,0.0,10
Veal,"Meat, Poultry",85,185.0,217.65,27.06,10.59,0.0,0.0,9.41,10
Roast,"Meat, Poultry",85,305.0,358.82,15.29,16.47,0.0,0.0,15.29,10
Clams,"Fish, Seafood",85,87.0,102.35,14.12,1.18,2.35,0.0,0.0,5
Cod,"Fish, Seafood",100,170.0,170.0,28.0,5.0,0.0,0.0,0.0,5
Crab meat,"Fish, Seafood",85,90.0,105.88,16.47,2.35,1.18,0.0,0.0,5
Fish sticks fried,"Fish, Seafood",112,200.0,178.57,16.96,8.93,7.14,0.0,4.46,5
Flounder,"Fish, Seafood",100,200.0,200.0,30.0,8.0,0.0,0.0,0.0,5
Haddock,"Fish, Seafood",85,135.0,158.82,18.82,5.88,7.06,0.0,4.71,5
Halibut,"Fish, Seafood",100,182.0,182.0,26.0,8.0,0.0,0.0,0.0,5
Herring,"Fish, Seafood",100,211.0,211.0,22.0,13.0,0.0,0.0,0.0,5
Lobster,"Fish, Seafood",100,92.0,92.0,18.0,1.0,0.0,0.0,0.0,5
Mackerel,"Fish, Seafood",85,155.0,182.35,21.18,10.59,0.0,,0.0,5
Oysters,"Fish, Seafood",230,231.0,100.43,100.87,101.3,102.61,102.17,101.74,5
Oyster stew,"Fish, Seafood",85,125.0,147.06,22.35,7.06,0.0,0.0,1.18,5
Salmon,"Fish, Seafood",85,120.0,141.18,20.0,5.88,0.0,0.0,1.18,5
Sardines,"Fish, Seafood",85,180.0,211.76,25.88,10.59,0.0,0.0,4.71,5
Scallops,"Fish, Seafood",100,104.0,104.0,18.0,8.0,10.0,0.0,0.0,5
Shad,"Fish, Seafood",85,170.0,200.0,23.53,11.76,0.0,0.0,0.0,5
Shrimp,"Fish, Seafood",85,110.0,129.41,27.06,1.18,0.0,0.0,0.0,5
Swordfish,"Fish, Seafood",100,180.0,180.0,27.0,6.0,0.0,0.0,0.0,5
Tuna,"Fish, Seafood",85,170.0,200.0,29.41,8.24,0.0,0.0,3.53,5
Asparagus,Vegetables A-E,96,18.0,18.75,1.04,0.0,3.12,0.52,0.0,13
Beans,Vegetables A-E,125,25.0,20.0,0.8,0.0,4.8,0.64,0.0,13
Lima,Vegetables A-E,160,140.0,87.5,5.0,0.0,15.0,1.88,0.0,13
"Lima, dry, cooked",Vegetables A-E,192,260.0,135.42,8.33,0.0,25.0,1.04,0.0,13
"Navy, baked with pork",Vegetables A-E,200,250.0,125.0,5.5,3.0,18.5,1.0,3.0,13
Red kidney,Vegetables A-E,260,230.0,88.46,5.77,0.38,16.15,0.96,0.0,13
Bean sprouts,Vegetables A-E,50,17.0,34.0,2.0,0.0,6.0,0.6,0.0,13
