Food,Category,Grams,Calories,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,satfat_per_100g,category_encoded
Wheat (whole),"Breads, cereals, fastfood,grains",120,390.0,325.0,10.83,1.67,65.83,2.33,0.0,0
Macaroni,"Breads, cereals, fastfood,grains",140,155.0,110.71,3.57,0.71,22.86,0.07,0.0,0
Baked with cheese,"Breads, cereals, fastfood,grains",220,475.0,215.91,8.18,11.36,20.0,0.0,10.91,0
Muffins,"Breads, cereals, fastfood,grains",48,135.0,281.25,8.33,10.42,39.58,0.0,8.33,0
Noodles,"Breads, cereals, fastfood,grains",160,200.0,125.0,4.38,1.25,23.12,0.06,1.25,0
Oatmeal,"Breads, cereals, fastfood,grains",236,150.0,63.56,2.12,1.27,11.02,1.95,0.85,0
"Pancakes 4"" diam.","Breads, cereals, fastfood,grains",108,250.0,231.48,6.48,8.33,25.93,0.09,0.0,0
"Wheat, pancakes 4"" diam.","Breads, cereals, fastfood,grains",108,250.0,231.48,6.48,8.33,25.93,0.09,0.0,0
"Pizza 14"" diam.","Breads, cereals, fastfood,grains",75,180.0,240.0,10.67,8.0,30.67,0.0,6.67,0
Popcorn salted,"Breads, cereals, fastfood,grains",28,152.0,542.86,10.71,25.0,71.43,1.79,7.14,0
Puffed rice,"Breads, cereals, fastfood,grains",14,55.0,392.86,0.0,0.0,85.71,0.0,0.0,0
Puffed wheat presweetened,"Breads, cereals, fastfood,grains",28,105.0,375.0,3.57,0.0,92.86,2.14,0.0,0
Rice,"Breads, cereals, fastfood,grains",208,748.0,359.62,7.21,1.44,74.04,0.58,0.0,0
Converted,"Breads, cereals, fastfood,grains",187,677.0,362.03,7.49,0.0,75.94,0.21,0.0,0
White,"Breads, cereals, fastfood,grains",191,692.0,362.3,7.33,0.0,78.53,0.16,0.0,0
Rice flakes,"Breads, cereals, fastfood,grains",30,115.0,383.33,6.67,0.0,86.67,0.33,0.0,0
Rice polish,"Breads, cereals, fastfood,grains",50,132.0,264.0,12.0,12.0,56.0,2.4,0.0,0
Rolls,"Breads, cereals, fastfood,grains",50,411.0,822.0,6.0,24.0,46.0,0.2,22.0,0
of refined flour,"Breads, cereals, fastfood,grains",38,115.0,302.63,7.89,5.26,52.63,0.0,5.26,0
whole-wheat,"Breads, cereals, fastfood,grains",40,102.0,255.0,10.0,2.5,50.0,0.25,0.0,0
Spaghetti with meat sauce,"Breads, cereals, fastfood,grains",250,285.0,114.0,5.2,4.0,14.0,0.2,2.4,0
with tomatoes and cheese,"Breads, cereals, fastfood,grains",250,210.0,84.0,2.4,2.0,14.4,0.2,1.2,0
Spanish rice,"Breads, cereals, fastfood,grains",250,217.0,86.8,1.6,1.6,16.0,0.48,0.0,0
Shredded wheat biscuit,"Breads, cereals, fastfood,grains",28,100.0,357.14,10.71,3.57,82.14,2.5,0.0,0
Waffles,"Breads, cereals, fastfood,grains",75,240.0,320.0,10.67,12.0,40.0,0.13,1.33,0
Wheat germ,"Breads, cereals, fastfood,grains",68,245.0,360.29,25.0,10.29,50.0,3.68,4.41,0
Wheat-germ cereal toasted,"Breads, cereals, fastfood,grains",65,260.0,400.0,30.77,10.77,55.38,3.85,4.62,0
Wheat meal cereal unrefined,"Breads, cereals, fastfood,grains",30,103.0,343.33,13.33,3.33,83.33,2.33,0.0,0
"Wheat, cooked","Breads, cereals, fastfood,grains",200,275.0,137.5,6.0,0.5,17.5,2.2,0.0,0
Bean soups,Soups,250,190.0,76.0,3.2,2.0,12.0,0.24,1.6,12
Beef soup,Soups,250,100.0,40.0,2.4,1.6,4.4,0.2,1.6,12
Bouillon,Soups,240,24.0,10.0,2.08,0.0,0.0,0.0,0.0,12
chicken soup,Soups,250,75.0,30.0,1.6,0.8,4.0,0.0,0.8,12
Clam chowder,Soups,255,85.0,33.33,1.96,0.78,4.71,0.2,3.14,12
Cream soups,Soups,255,200.0,78.43,2.75,4.71,7.06,0.47,4.31,12
Noodle,Soups,250,115.0,46.0,2.4,1.6,5.2,0.08,1.2,12
Split-pea soup,Soups,250,147.0,58.8,3.2,1.2,10.0,0.2,1.2,12
Tomato soup,Soups,245,175.0,71.43,2.45,2.86,8.98,0.2,2.45,12
Vegetable,Soups,250,80.0,32.0,1.6,0.8,5.6,0.0,0.8,12
